year,month,state,program,days_to_initial_call,targeted_members,outreached_members,reached_members,engaged_members
2015,8,MS,Live Call,185,15,14,5,5
2015,8,MT,IVR,4,2,2,2,0
2015,8,MT,Live Call,22,2,2,1,1
2015,8,NC,IVR,2226,1794,989,518,276
2015,8,NC,Live Call,21348,1721,1549,606,457
2015,8,NE,IVR,904,701,428,232,77
2015,8,NE,Live Call,6570,398,357,124,81
2015,8,NH,IVR,21,10,10,5,1
2015,8,NH,Live Call,148,17,14,5,4
2015,8,NJ,IVR,2374,1484,1105,576,220
2015,8,NJ,Live Call,12881,1174,1053,371,250
2015,8,NM,IVR,6,3,3,1,0
2015,8,NM,Live Call,77,6,4,2,0
2015,8,NV,IVR,588,323,252,122,44
2015,8,NV,Live Call,2391,177,164,85,58
2015,8,NY,IVR,2365,1542,1052,603,212
2015,8,NY,Live Call,12586,1166,1031,360,249
2015,8,OH,IVR,6549,3537,2636,1243,479
2015,8,OH,Live Call,26936,1580,1475,521,352
2015,8,OK,IVR,238,153,110,67,28
2015,8,OK,Live Call,1031,60,58,21,15
2015,8,OR,IVR,24,15,12,6,3
2015,8,OR,Live Call,117,9,9,2,2
2015,8,PA,IVR,10835,8808,4896,2319,795
2015,8,PA,Live Call,92788,6199,5274,1802,1124
2015,8,PR,IVR,,1,0,,
2015,8,RI,IVR,4,2,2,1,0
2015,8,RI,Live Call,41,3,3,2,1
2015,8,SC,IVR,119,64,49,27,10
2015,8,SC,Live Call,631,48,48,19,10
2015,8,SD,IVR,108,87,54,25,6
2015,8,SD,Live Call,942,55,55,25,13
2015,8,TN,IVR,130,96,65,32,9
2015,8,TN,Live Call,1135,90,81,34,25
2015,8,TX,IVR,2453,1563,1079,583,219
2015,8,TX,Live Call,13093,1178,1056,404,283
2015,8,U,Live Call,27,1,1,0,0
2015,8,UA,IVR,,1,0,,
2015,8,UT,IVR,559,367,254,126,48
2015,8,UT,Live Call,5408,353,348,154,117
2015,8,VA,IVR,711,410,303,132,45
2015,8,VA,Live Call,3283,229,215,62,35
2015,8,VI,IVR,,1,0,,
2015,8,VT,IVR,8,5,4,2,0
2015,8,VT,Live Call,126,9,9,7,5
2015,8,WA,IVR,60,33,30,18,5
2015,8,WA,Live Call,450,37,33,11,6
2015,8,WI,IVR,26,16,13,9,2
2015,8,WI,Live Call,118,8,8,4,3
2015,8,WV,IVR,909,705,380,170,55
2015,8,WV,Live Call,6553,381,367,139,96
2015,8,WY,IVR,18,13,9,4,2
2015,8,WY,Live Call,216,11,10,4,2
2015,9,,IVR,3,4,2,0,0
2015,9,,Live Call,,4,0,,
2015,9,AK,IVR,18,2,2,0,0
2015,9,AL,IVR,35,55,27,15,7
2015,9,AL,Live Call,1016,56,53,15,12
2015,9,AR,IVR,520,606,319,191,74
2015,9,AR,Live Call,4420,270,263,86,56
2015,9,AZ,IVR,151,122,98,53,19
2015,9,AZ,Live Call,827,68,64,20,14
2015,9,CA,IVR,904,746,511,281,81
2015,9,CA,Live Call,13183,993,872,363,285
2015,9,CO,IVR,215,167,123,74,13
2015,9,CO,Live Call,1798,141,134,60,45
2015,9,CT,IVR,1454,1857,843,439,135
2015,9,CT,Live Call,26307,1793,1591,475,283
2015,9,DC,IVR,79,79,38,23,14
2015,9,DC,Live Call,846,55,45,17,14
